Cluster,O_avg,CN_avg,O_std,CN_std,O_Nstd,CN_Nstd,Total,O_status,CN_status,Tier%,Tier_Status
0,3.792157040048279,1.316807250744201,0.24801195824078395,0.3061446930442907,72673,72673,72673,1.0,1.0,187.98,SS
1,3.656993616853125,2.669668626517598,0.23565278973029177,0.380734715935347,77727,77727,77727,1.0,1.0,36.98,B
2,4.767940095917683,1.121952971600977,0.17532188409927993,0.22386618464539929,125286,125286,125286,1.0,1.0,324.97,SS
3,2.974447754006403,2.555002392991656,0.27710168245503736,0.42973612044473286,64076,64076,64076,1.0,1.0,16.42,B
4,3.73300477176824,2.4536909714365285,0.28390799197532796,0.4182748852555568,57451,57451,57451,1.0,1.0,52.14,A
5,4.395132350328655,2.5460887072896314,0.2770149938669212,0.5606592976797101,56290,56290,56290,1.0,1.0,72.62,S
6,4.236940511369471,1.6626134760269413,0.23532683991330344,0.40927771709858196,100168,100168,100168,1.0,1.0,154.84,S
7,3.0826955639953697,1.8760184379115605,0.29679151587859764,0.39422158203976226,59732,59732,59732,1.0,1.0,64.32,A
8,4.287266362587877,1.2592667721476194,0.18972707506046926,0.2915667689747672,123245,123245,123245,1.0,1.0,240.46,SS
9,3.6748763485957254,2.2507795100222716,0.3092743420002097,0.4520977240571928,49390,49390,49390,1.0,1.0,63.27,A
10,3.6880139059517094,1.7228275252935905,0.21596861296567862,0.3452706924675575,104539,104539,104539,1.0,1.0,114.07,S
11,0.33881413480885314,0.31345363849765256,0.48915243635310207,0.5554981756091633,4544,4544,4544,1.0,1.0,8.09,B
12,2.317719817415187,3.6231722177091794,0.38711907238342524,0.6322092529250825,29544,29544,29544,1.0,1.0,-36.03,nS
13,3.423453512958878,3.6676359688660134,0.3703188276375861,0.49633122495825416,34389,34389,34389,1.0,1.0,-6.66,nA
14,2.9682644512254295,3.0664578458751603,0.30563727281160114,0.4890888794362807,52996,52996,52996,1.0,1.0,-3.2,nB
